01-20-2018,43.4,54,26.1,11.0,0
01-21-2013,31.5,54,28,9.1,0
01-21-2014,25.7,46,14,12.5,0
01-21-2015,30.5,39.9,25,7.0,0
01-21-2016,32.6,37.9,28,10.8,0
01-21-2017,45.8,51.8,41,6.0,0.07
01-21-2018,46.1,54,37,5.3,0
01-22-2013,24.7,32,18,15.6,0
01-22-2014,12.6,32,7,16.6,0.25
01-22-2015,34,39,25,5.3,0
01-22-2016,27.3,37.9,21.9,10.5,0
01-22-2017,46,51.1,41,6.3,0
01-22-2018,42.1,52,37.9,7.1,0
01-23-2013,16.1,28.9,12,14.0,0
01-23-2014,13.5,21,7,11.9,0
01-23-2015,32.4,39,28,9.9,0
01-23-2016,27.9,30,21.9,18.9,0.16
01-23-2017,43.5,48.9,39,22.5,0.03
01-23-2018,44.8,59,35.6,9.1,0.03
01-24-2013,18.6,25,12,11.7,0
01-24-2014,15.7,21,8.1,12.8,0
01-24-2015,35.1,39.9,28,8.3,0.66
01-24-2016,28.3,36,24.1,13.3,0.8
01-24-2017,39.1,45,37.9,18.7,1.24
01-24-2018,42.9,60.1,34,14.2,0.28
01-25-2013,18.6,25,14,10.2,0
01-25-2014,22,27,10.9,12.6,0
01-25-2015,37.6,42.1,32,12.8,0.07
01-25-2016,33.9,37.9,24.1,4.9,0.03
01-25-2017,42.5,50,37.9,14.9,0.61
01-25-2018,29.5,45,24.1,14.6,0
01-26-2013,21.6,28.9,14,10.5,0.04
01-26-2014,21.9,27,18,12.7,0.02
01-26-2015,26.6,35.1,21.2,14.7,0
01-26-2016,40.2,48.9,30,5.6,0
01-26-2017,50,57,39,8.0,0
01-26-2018,32,39,24.1,6.6,0
01-27-2013,25.7,35.1,18,11.8,0
01-27-2014,33.7,44.1,18,9.4,0
01-27-2015,24.4,30,19.9,14.9,0.45
01-27-2016,44.4,48.9,35.1,10.3,0.01
01-27-2017,43.7,57,42.1,15.7,0.02
01-27-2018,42.1,57,28,7.8,0
01-28-2013,32.4,36,21,6.7,0
01-28-2014,18.5,28,12.9,11.8,0
01-28-2015,23.5,34,17.1,11.7,0.01
01-28-2016,37.9,48,28.9,5.4,0
01-28-2017,38.7,45,36,14.5,0
01-28-2018,50.3,57,35.1,6.4,0.19
01-29-2013,39,46,29.1,7.0,0.22
01-29-2014,18.2,23,12.9,8.1,0.05
01-29-2015,26.3,34,17.1,6.1,0
01-29-2016,39.8,44.1,28.9,8.0,0
01-29-2017,39.9,45,36,9.8,0
01-29-2018,42.8,54,39,8.8,0.08
01-30-2013,43.6,54,37,7.5,0.09
01-30-2014,21.6,28.9,14,7.5,0
01-30-2015,33.9,37,21,10.8,0.07
01-30-2016,34,42.1,30,10.4,0
01-30-2017,37,45,33.1,10.4,0
01-30-2018,34.2,44.1,30,11.2,0.06
01-31-2013,49.9,60.1,36,20.0,0.89
01-31-2014,30.5,39,18,7.3,0
01-31-2015,20.4,37,12.9,21.5,0.01
01-31-2016,42.4,55.9,30,6.8,0
01-31-2017,30.9,37.9,28,8.6,0
01-31-2018,26.2,37,19,13.0,0
02-01-2013,30.8,36,28,16.0,0.02
02-01-2014,38.2,44.1,26.1,3.2,0
02-01-2015,27.5,36,12.9,8.8,0
02-01-2016,50.5,59,37,6.5,0
02-01-2017,41.1,48.9,28,10.1,0.06
02-01-2018,36.9,45,19,8.1,0
02-02-2013,25.3,32,19.9,10.9,0
02-02-2014,40.3,55,30,3.3,0
02-02-2015,29.6,36,19.9,11.2,0.84
02-02-2016,45.5,59,37.9,5.0,0
02-02-2017,41.5,48.9,34,11.7,0
02-02-2018,33.4,45,21.9,13.7,0.23
02-03-2013,27,30.9,19.9,5.5,0.04
02-03-2014,35.6,55,30,8.2,0.27
02-03-2015,19.3,33.1,14,13.4,0.26
02-03-2016,48.1,57,37.9,9.0,0
02-03-2017,32.6,46,28,10.5,0
02-03-2018,22.4,39,17.1,13.5,0.18
02-04-2013,28.3,30.9,24.1,13.9,0.03
02-04-2014,29.6,42.1,25,6.2,0.81
02-04-2015,30,39.9,14,5.6,0
02-04-2016,54,57.9,42.1,8.2,0.69
02-04-2017,29.5,36,24.1,14.5,0
02-04-2018,34.8,45,17.1,8.2,0
02-05-2013,29.4,32,25,7.4,0.01
02-05-2014,31.5,36,25,9.0,0.74
02-05-2015,33.2,41,21,12.1,0
02-05-2016,39.4,57.9,32,13.7,0.31
02-05-2017,36.5,44.1,24.1,9.9,0
02-05-2018,37.4,46.9,30,12.6,1.01
02-06-2013,33.4,39.9,28,8.4,0.01
02-06-2014,28.4,34,21.9,8.6,0.44
02-06-2015,18.1,39.9,12,13.3,0
02-06-2016,36,44.1,32,9.3,0.05
02-06-2017,43.1,50,33.1,12.3,0
02-06-2018,31.6,41,28,6.1,0
02-07-2013,30.1,39.9,26.1,8.5,0
02-07-2014,28.5,33.1,21.9,8.9,0
02-07-2015,29,36,12,7.1,0
02-07-2016,39.6,46,32,5.0,0
02-07-2017,39.9,45,37.4,8.8,0.04
02-07-2018,32.8,46.9,28,8.3,0
02-08-2013,33,36,27,14.6,0
02-08-2014,26.8,33.1,21.9,8.0,0
02-08-2015,33,36,26.1,8.9,0.01
02-08-2016,36.7,39.9,30.2,13.5,0
02-08-2017,46.7,62.1,37.9,7.1,0.21
02-08-2018,32.8,46.9,26.1,12.9,0.85
02-09-2013,30,36,27,16.4,0.89
02-09-2014,26.1,28.9,21,6.5,0
02-09-2015,28.9,35.6,25.9,15.3,0.03
02-09-2016,30.2,41,27,8.3,0.06
02-09-2017,36.1,62.1,24.1,15.0,0.15
02-09-2018,30.8,36,26.1,8.2,0
02-10-2013,26.4,36,19.9,8.0,0.22
02-10-2014,25.9,28.9,21,12.4,0.1
02-10-2015,29.9,39,26.1,11.0,0.04
02-10-2016,35.4,39.9,27,7.6,0.01
02-10-2017,24.5,44.1,19,16.5,0.29
02-10-2018,42,51.1,28,5.5,0
02-11-2013,37.9,45,19.9,3.6,0.07
02-11-2014,22.6,28.9,18,11.3,0
02-11-2015,28.4,39,21.9,9.3,0
02-11-2016,28.1,39.9,23,17.3,99.99
02-11-2017,37.5,48.9,19,5.4,0
02-11-2018,45.6,60.1,37.9,4.7,0.82
02-12-2013,42.6,46,34,11.8,0.45
02-12-2014,19,26.1,14,9.2,0
02-12-2015,32.3,39.9,21.9,6.9,0
02-12-2016,21.7,32,17.1,12.3,0.05
02-12-2017,35.9,48.9,30.9,8.8,0.02
02-12-2018,48.1,63,41,11.4,0.99
02-13-2013,38.8,45,34,5.9,0
02-13-2014,28.7,36,14,15.8,0.18
02-13-2015,17.6,39.9,9,18.2,0
02-13-2016,21.6,27,10.9,17.0,0
02-13-2017,38.2,42.1,32,20.7,0.41
02-13-2018,33,41,27,9.9,0
02-14-2013,38.7,46,33.8,7.2,0.02
02-14-2014,35.4,39.9,24.1,16.4,1.75
02-14-2015,22.9,32,9,7.1,0
02-14-2016,8.3,24.1,1,15.8,0
02-14-2017,34.6,42.1,30.9,11.6,0.01
02-14-2018,40.5,54,27,6.8,0.01
02-15-2013,42.6,53.1,34,7.4,0
02-15-2014,34.5,39,30.2,9.7,0.25
02-15-2015,20.5,32,10.9,19.7,0.01
02-15-2016,19.1,30.9,1,6.2,0
02-15-2017,40.9,50,30.9,6.5,0
02-15-2018,51,61,36,6.8,0.13
02-16-2013,38.3,53.1,34,8.4,0.02
02-16-2014,27.2,37,21.9,14.0,0.05
02-16-2015,10.2,26.1,3.9,15.4,0
02-16-2016,46.1,57.2,30.9,13.4,0.49
02-16-2017,36.2,50,33.1,18.5,0
02-16-2018,56.1,61,44.1,9.1,0.16
02-17-2013,30.1,42.1,25,18.8,0
02-17-2014,24.4,33.1,19,11.2,0
02-17-2015,19.4,28,3.9,6.6,0.11
02-17-2016,39.9,57,35.1,12.6,0.8
02-17-2017,34.3,44.1,28.9,15.4,0
02-17-2018,36,59,30,11.3,0.05
02-18-2013,24.5,36,19,18.7,0
02-18-2014,30.6,39.9,19,7.2,0.05
02-18-2015,24.2,30.9,14,5.0,0.02
02-18-2016,33.9,41,28.9,12.8,0
02-18-2017,46.3,64.9,28.9,8.3,0
02-18-2018,37.6,45,30,8.8,0.62
02-19-2013,38.2,46.9,19,8.1,0
02-19-2014,36.4,45,25,5.3,0.1
02-19-2015,22,30.9,15.1,14.9,0
02-19-2016,30.2,37.4,25,7.6,0
02-19-2017,60.4,66,55.9,9.1,0
02-19-2018,41.5,48.9,33.1,5.6,0.02
02-20-2013,35.6,46.9,30,16.3,0.16
02-20-2014,42.5,50,28,8.1,0.25
02-20-2015,10.9,27,3,18.2,0
02-20-2016,47.4,62.1,25,10.1,0
02-20-2017,51.4,66,45,9.9,0
02-20-2018,53.9,70,33.1,6.9,0.03
02-21-2013,29.1,35.1,25,18.0,0
02-21-2014,37.1,46.9,33.8,8.2,0.02
02-21-2015,20.1,28.9,3,8.0,0.01
02-21-2016,53.1,62.1,39.9,8.4,0
02-21-2017,42.1,55,36,8.8,0
02-21-2018,61.8,79,46.9,7.7,0
02-22-2013,29.9,39,25,9.3,0
02-22-2014,45.5,55,34,9.4,0.11
02-22-2015,34.1,42.1,14,3.7,0.71
02-22-2016,46,57,39,6.1,0.05
02-22-2017,48.2,59,36,7.0,0
02-22-2018,50.6,79,37.9,10.1,0.02
02-23-2013,36.8,39.9,27.1,8.0,0
02-23-2014,48,55,37.9,5.2,0
02-23-2015,29.3,42.1,16,14.0,0.11
02-23-2016,38.8,53.1,36,13.0,0
02-23-2017,51.3,64.9,42.1,5.2,0
02-23-2018,37.8,41,37,9.1,0.11
02-24-2013,39.1,46,35.1,11.4,0.3
02-24-2014,40,54,33.1,13.2,0
02-24-2015,12.4,37.9,6.1,9.9,0
02-24-2016,39.8,55.4,35.6,14.0,0.3
02-24-2017,59.6,70,42.1,7.5,0
02-24-2018,46.7,54,36,7.4,0.07
02-25-2013,37.7,46,33.1,9.7,0.03
02-25-2014,28.7,44.1,24.1,12.9,0
02-25-2015,27.7,37.9,6.1,8.7,0
02-25-2016,52.7,61,36,17.1,1.48
02-25-2017,57.1,70,48.9,8.5,0
02-25-2018,42.3,54,39.9,9.6,0.62
02-26-2013,39,44.1,33.1,7.4,0
02-26-2014,28,33.1,24.1,9.2,0
02-26-2015,26.9,37.9,21,9.3,0
02-26-2016,36.6,41,33.1,17.7,0.02
02-26-2017,44.5,64.9,39,16.5,0.32
02-26-2018,46.1,52,39.9,6.4,0.22
02-27-2013,39.9,48.2,36,15.4,0.95
02-27-2014,24.7,33.1,19,9.6,0.01
02-27-2015,23.7,32,19,7.3,0
02-27-2016,32.6,42.1,28,11.5,0
02-27-2017,43.8,54,37,9.5,0
02-27-2018,47.3,57,39.9,7.5,0
02-28-2013,45.5,53.1,37,6.3,0.28
02-28-2014,17.3,33.1,10,13.3,0
02-28-2015,22.1,30,15.1,7.2,0
02-28-2016,46.3,61,28,10.1,0
02-28-2017,49.9,57.9,37,7.5,0
02-28-2018,49.5,62.1,39.9,9.2,0
02-29-2016,51.2,61,39,9.4,0
03-01-2013,40.8,53.1,37,10.2,0
03-01-2014,26.6,37.9,10,5.6,0
03-01-2015,26.7,30,15.1,4.4,0
03-01-2016,46.6,61,39.9,11.4,0.07
03-01-2017,57.6,71.1,44.1,6.5,0
03-01-2018,54.5,62.1,42.1,6.0,0
03-02-2013,37.2,44.1,34,11.6,0
03-02-2014,36.6,39,21,6.0,0
03-02-2015,32.2,37.9,24.1,9.0,0.48
03-02-2016,46.5,55.9,36,15.1,0.17
03-02-2017,55.1,71.1,43,20.0,0.12
03-02-2018,41.9,57.9,35.6,19.1,1.47
03-03-2013,33.3,39.9,30,11.6,0
03-03-2014,25.9,39,19.9,10.6,0.01
03-03-2015,28.4,37.9,24.1,9.8,0
03-03-2016,31.5,36,27,11.9,0
03-03-2017,37.1,43,32,15.2,0
03-03-2018,40.6,46.9,36,20.1,0.71
03-04-2013,33.5,41,28.9,16.3,0
03-04-2014,20.3,32,12.9,6.4,0
03-04-2015,38.9,46.9,24.1,8.0,0.73
03-04-2016,33.7,42.1,27,10.0,0.04
03-04-2017,27.9,42.1,23,18.9,0
03-04-2018,41.9,46.9,37.9,16.6,0
03-05-2013,37.9,48,29.1,11.2,0
03-05-2014,30.6,37,12.9,5.1,0
03-05-2015,32.9,44.1,21.2,8.6,0.46
03-05-2016,34.8,42.1,30,9.4,0.04
03-05-2017,24.9,37.9,17.1,13.9,0
03-05-2018,37.5,44.1,35.1,15.7,0
03-06-2013,40.8,48,33.1,16.0,0
03-06-2014,24.2,37,16,10.2,0
03-06-2015,21,41,15.1,7.1,0.38
03-06-2016,37.8,46.9,30,4.5,0
03-06-2017,34.4,45,17.1,6.3,0
03-06-2018,39.5,46.9,34,8.2,0
03-07-2013,37.1,43,34,16.8,0.01
03-07-2014,29.2,36,16,10.2,0
03-07-2015,26.8,37.9,15.1,9.3,0
03-07-2016,45.1,61,33.1,9.3,0
03-07-2017,46.5,53.1,28,7.7,0
03-07-2018,36.6,41,33.8,14.7,0.1
03-08-2013,34.4,42.1,32,13.4,0.21
03-08-2014,41.6,55.9,26.1,7.3,0
03-08-2015,40.2,48,35.1,8.4,0
03-08-2016,53.9,64,37,5.8,0
03-08-2017,53.8,62.1,43,10.3,0.16
03-08-2018,37.4,42.1,34,12.7,0.8
03-09-2013,43.2,54,32,13.1,0.16
03-09-2014,41.4,55.9,35.1,11.3,0
03-09-2015,44.9,54,35.1,6.5,0.02
